"code","highest"
"AK","Anticipation"
"AL","Trust"
"AR","Trust"
"AZ","Trust"
"CA","Trust"
"CO","Trust"
"CT","Sadness"
"DE","Joy"
"FL","Trust"
"GA","Trust"
"HI","Trust"
"IA","Trust"
"ID","Trust"
"IL","Trust"
"IN","Trust"
"KS","Anticipation"
"KY","Trust"
"LA","Trust"
"MA","Trust"
"MD","Trust"
"ME","Trust"
"MI","Trust"
"MN","Trust"
"MO","Trust"
"MS","Joy"
"MT","Anger"
"NC","Trust"
"ND","Trust"
"NE","Anticipation"
"NH","Trust"
"NJ","Trust"
"NM","Trust"
"NV","Trust"
"NY","Trust"
"OH","Trust"
"OK","Trust"
"OR","Trust"
"PA","Trust"
"RI","Anticipation"
"SC","Trust"
"SD","Sadness"
"TN","Trust"
"TX","Trust"
"UT","Trust"
"VA","Trust"
"VT","Trust"
"WA","Trust"
"WI","Trust"
"WV","Trust"
"WY","Anticipation"
